skill_name,description
普通攻击,全局默认普攻
火花冲击,火系群体冲击
活力治愈,单体治疗并附加暴击增益
弧光连射,多目标连射并附带控制概率
野性撞击,怪物默认单体攻击
利爪突袭,怪物高速单体突袭
野性回春,怪物治疗最低生命单位
裂空斩,人物专属单体高伤技能
圣技·光之洗礼,【单体必中技能】消耗10点精力，回复自身法力×300%的生命，并进入光之洗礼状态4回合：混乱/睡眠/麻痹/封印/诅咒五项不良抗性+200（不可叠加）。
魂技·雷之咏叹,【全体必中技能】对全体敌人造成（攻击力×200%+法力×850%+速度×1500%）伤害；60%命中率+350点麻痹威力的感电3回合（速度-40%、命中-40、闪避-40，不可叠加）。消耗10点精力。
魂技·鲜血连斩,【双体必中技能】随机攻击两名敌人，造成（速度×800%+法力×800%）伤害；50%命中率+325点混乱威力的混乱之血2回合（混乱者攻击友方，不可叠加）。消耗10点精力。
致命B,【被动技】拥有此技能将提升12点致命一击的属性。
圣技·魅惑之风,【全体必中技能】对全体敌人造成（攻击力×200%+法力×1200%+速度×800%）伤害；75%命中率+325点封印威力的魅惑之风3回合（命中-40、闪避-40、技抗-25、逆技-25，不可叠加）。消耗10点精力。
圣技·心灵审判,【全体必中技能】对全体敌人造成[color=green]（攻击力×400%+法力×2000%+速度×2000%）[/color]的真伤，并附加[color=blue]350[/color]点混乱威力使敌人混乱[color=#e6b422]2[/color]回合（混乱者随机攻击友方，不可叠加）。消耗[color=red]50[/color]点精力。
魂技·圣翼之风,【双体必中技能】随机攻击两名敌人，造成（攻击力×150%+速度×1200%）伤害；75%命中率+325点麻痹威力的圣光忏悔3回合（命中-50、闪避-50、暴伤-200%、物抗/技抗/逆物/逆技各-25，不可叠加）。消耗10点精力。
强壮B,【被动技】拥有此技能时，将提升[color=green]15%[/color]的最大生命上限。
圣技·恶魔之力,【全体必中技能】对全体敌人造成（攻击力×700%+法力×500%+速度×300%）伤害；60%命中率+350点诅咒威力的恶魔之力2回合（物抗-30、技抗-30、暴伤-150%，不可叠加）。消耗10点精力。
圣技·幻影闪击,【全体必中技能】对全体敌人造成[color=green]（攻击力×150%+法力×900%+速度×1400%[/color]）伤害；[color=green]75%[/color]命中率+[color=#e6b422]325[/color]点麻痹威力的幻影闪击[color=#e6b422]3[/color]回合（速度-35%、命中-35、闪避-35、暴伤-100%，不可叠加）。消耗[color=red]10[/color]点精力。
生物电流B,最强单体法力技能，每 1 点法力会获得5.9点技能伤害。每次使用该技能需要消耗11点精力。；使用该技能的命中额外附加40点。
寒蝉F,该法力技能按法力* 2.2 伤害力攻击敌人，同时有140的封印威力使敌人处于寒蝉状态，而无法使用技能。每次使用该技能消耗24点精力；该技能额外附加8点命中。 2.2倍伤害/消耗24精力/命中附加8。
寒蝉C,该法力技能按法力* 2.8 伤害力攻击敌人，同时有140的封印威力使敌人处于寒蝉状态，而无法使用技能。每次使用该技能消耗18点精力；该技能额外附加32点命中。
厚甲神技,宠物得到这个技能【被动技】提升10点物理抗性。 提升20点物理抗性。
厚甲A,宠物得到这个技能【被动技】提升10点物理抗性。 提升15点物理抗性。
厚甲C,宠物得到这个技能【被动技】提升10点物理抗性。 提升8点物理抗性。
厚甲D,宠物得到这个技能【被动技】提升10点物理抗性。 提升6点物理抗性。
厚甲E,宠物得到这个技能【被动技】提升10点物理抗性。 提升5点物理抗性。
厚甲F,宠物得到这个技能【被动技】提升10点物理抗性。 提升4点物理抗性。
电流神技,最强单体法力技能，每 1 点法力会获得9点技能伤害。每次使用该技能需要消耗5点精力。；使用该技能的命中额外附加40点。
电流A,最强单体法力技能，每 1 点法力会获得7.5点技能伤害。每次使用该技能需要消耗8点精力。；使用该技能的命中额外附加40点。
致命神技,【被动技】拥有此技能将提升25点致命一击的属性。
寒蝉D,该法力技能按法力* 2.6 伤害力攻击敌人，同时有140的封印威力使敌人处于寒蝉状态，而无法使用技能。每次使用该技能消耗20点精力；该技能额外附加24点命中。 2.6倍伤害/消耗20精力/命中附加24。
寒蝉E,该法力技能按法力* 2.4 伤害力攻击敌人，同时有140的封印威力使敌人处于寒蝉状态，而无法使用技能。每次使用该技能消耗22点精力；该技能额外附加16点命中。 2.4倍伤害/消耗22精力/命中附加16。
电流C,最强单体法力技能，每 1 点法力会获得5.9点技能伤害。每次使用该技能需要消耗11点精力。；使用该技能的命中额外附加40点。 造成法力*5.3伤害/消耗12精力。
电流D,最强单体法力技能，每 1 点法力会获得5.9点技能伤害。每次使用该技能需要消耗11点精力。；使用该技能的命中额外附加40点。 造成法力*4.7伤害/消耗14精力。
电流E,最强单体法力技能，每 1 点法力会获得5.9点技能伤害。每次使用该技能需要消耗11点精力。；使用该技能的命中额外附加40点。 造成法力*4.1伤害/消耗16精力。
电流F,最强单体法力技能，每 1 点法力会获得5.9点技能伤害。每次使用该技能需要消耗11点精力。；使用该技能的命中额外附加40点。 造成法力*3.5伤害/消耗17精力。
审判B,打出 2.6 倍的普通攻击力伤害，但有23%的概率失手，失手后会帮助敌人回复生命。每次使用该技能需要消耗11点精力；使用该技能的命中额外附加40点。
审判神技,打出 2.6 倍的普通攻击力伤害，但有23%的概率失手，失手后会帮助敌人回复生命。每次使用该技能需要消耗11点精力；使用该技能的命中额外附加40点。 3.2倍伤害/16%概率失手。
审判A,打出 2.6 倍的普通攻击力伤害，但有23%的概率失手，失手后会帮助敌人回复生命。每次使用该技能需要消耗11点精力；使用该技能的命中额外附加40点。 2.9倍伤害/20%概率失手。
审判C,打出 2.6 倍的普通攻击力伤害，但有23%的概率失手，失手后会帮助敌人回复生命。每次使用该技能需要消耗11点精力；使用该技能的命中额外附加40点。 2.45倍伤害/24%概率失手。
审判D,打出 2.6 倍的普通攻击力伤害，但有23%的概率失手，失手后会帮助敌人回复生命。每次使用该技能需要消耗11点精力；使用该技能的命中额外附加40点。 2.3倍伤害/25%概率失手。
审判E,打出 2.6 倍的普通攻击力伤害，但有23%的概率失手，失手后会帮助敌人回复生命。每次使用该技能需要消耗11点精力；使用该技能的命中额外附加40点。 2.15倍伤害/26%概率失手。
审判F,打出 2.6 倍的普通攻击力伤害，但有23%的概率失手，失手后会帮助敌人回复生命。每次使用该技能需要消耗11点精力；使用该技能的命中额外附加40点。 2倍伤害/27%概率失手。
